Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
937437.595363092958	00000.329319291307	00000.000790736812	
937437.595363092958	00008.038853879071	00000.000322816865	
937437.595363092958	00005.956738499694	00000.007814769584	
937437.595363092958	00000.434505285437	00000.000069287335	
937437.595363092958	00010.393045084559	00000.004349729609	
937437.595363092958	00000.020237777093	00000.000019825069	
937437.595363092958	00011.576587673067	00000.001296171854	
937437.595363092958	00027.547960541762	00000.003335803613	
937437.595363092958	00010.113179718889	00000.001778297954	
937437.595363092958	00001.218188718807	00000.001667054102	
937437.595363092958	00000.183753846339	00000.000201111252	
937437.595363092958	00008.124394052945	00000.001086207545	
937437.595363092958	00002.888782100206	00000.000020389210	
937437.595363092958	00093.196668605063	00000.139270310123	
937437.595363092958	00058.077076838096	00001.625270766530	
937437.595363092958	00000.201968443954	00000.000004260999	
937437.595363092958	00000.628187781428	00000.000040541464	
937437.595363092958	00001.737184213816	00000.001244575966	
937437.595363092958	00001.285730277141	00000.000761618028	
937437.595363092958	00000.621973914764	00000.000145278969	
286759.243894283602	00000.350613720258	00000.000031758739	
286759.243894283602	00001.739931471483	00000.004016167735	
286759.243894283602	00004.710182947154	00000.002034802199	
286759.243894283602	00000.604530151079	00000.000127759800	
286759.243894283602	00000.248416888791	00000.000001703071	
286759.243894283602	00001.649494471787	00000.000078323714	
286759.243894283602	00000.075914665717	00000.000005867044	
286759.243894283602	00000.684185562160	00000.000033875609	
286759.243894283602	00001.542455762265	00000.000184181091	
286759.243894283602	00000.041074032857	00000.000003042160	
286759.243894283602	00000.063140150643	00000.000002084815	
286759.243894283602	00000.195767870513	00000.000000087278	
286759.243894283602	00000.017969569051	00000.000000133286	
286759.243894283602	00001.052342826106	00000.000036139936	
286759.243894283602	00000.222527321145	00000.000009727486	
286759.243894283602	00000.033899663087	00000.000006066590	
286759.243894283602	00000.041035107639	00000.000000654980	
286759.243894283602	00000.081870499790	00000.000003000536	
286759.243894283602	00000.054652301227	00000.000006942680	
286759.243894283602	00000.198769300091	00000.000009957662	
286759.243894283602	00000.108240131208	00000.000002650962	
286759.243894283602	00000.779130955525	00000.000012049596	
286759.243894283602	00000.074852137830	00000.000003371595	
286759.243894283602	00000.175823366467	00000.000017670532	
286759.243894283602	00010.855560626670	00000.083872729461	
286759.243894283602	00042.997728313127	00000.055290634145	
286759.243894283602	00000.103381839299	00000.000000361894	
48314.900568436431	00000.418185971031	00000.000181135764	
48314.900568436431	00000.088251793017	00000.000008634909	
48314.900568436431	00000.125239456263	00000.000010168943	
48314.900568436431	00002.200357985007	00000.001444002359	
48314.900568436431	00000.698929545884	00000.000018684479	
48314.900568436431	00000.249604453726	00000.000003269519	
48314.900568436431	00001.421817879917	00000.000007616580	
48314.900568436431	00000.039681530491	00000.000000726321	
48314.900568436431	00000.024145652415	00000.000019391721	
48314.900568436431	00001.531282356324	00000.000697289279	
48314.900568436431	00000.765962501746	00000.000032932067	
48314.900568436431	00000.026044161433	00000.000011421540	
48314.900568436431	00000.003253281430	00000.000003014501	
48314.900568436431	00000.613767532806	00000.000311933550	
48314.900568436431	00000.046311979900	00000.000036843243	
48314.900568436431	00000.078114950003	00000.000035154168	
48314.900568436431	00000.004020105464	00000.000000114117	
48314.900568436431	00000.602815702992	00000.000024293196	
48314.900568436431	00000.093407669042	00000.000008055812	
48314.900568436431	00000.004683741895	00000.000002005696	
48314.900568436431	00000.104554640057	00000.000004363554	
48314.900568436431	00000.105259869465	00000.000101087487	
48314.900568436431	00000.685546287126	00000.000050919018	
48314.900568436431	00000.209632993441	00000.000572497838	
48314.900568436431	00003.419604393124	00000.001196817164	
